hub_id,lat,lon,elev_m,dist_km,cap_mean,cap_std,cap_lcb_at_base_area,feasible,pv_area_m2,required_pv_area_m2,hub_import_kwh_per_sol
4,17.514573119188505,288.00284188422273,318.0,1761.0053045834643,1461.1756948122174,3.342969775471687,1455.6932243804438,True,3000.0,3000.0,200.0
4,37.514573119188505,243.50284188422273,4647.0,1979.6182558484893,766.3401381848176,3.851997253519279,760.0228626890461,True,3000.0,3000.0,200.0
4,7.014573119188505,302.50284188422273,-47.0,2499.373429451616,1554.8848184100425,7.610704897206293,1542.4032623786243,True,3000.0,3000.0,200.0
5,50.734573119188504,67.3131101086353,-3534.0,1463.5730269185553,210.40547394837085,1.4918507394507,207.95883873567172,True,3000.0,3000.0,200.0
5,39.234573119188504,337.31311010863527,-4469.0,2130.6744857477543,582.7145223318574,1.4522235049705925,580.3328757837056,True,3000.0,3000.0,200.0
5,12.234573119188504,20.813110108635293,-834.0,2485.463665347803,1562.5426761858225,6.030141664107279,1552.6532438566867,True,3000.0,3000.0,200.0
5,50.734573119188504,98.3131101086353,-4718.0,2485.8537612892237,211.65427291965966,1.8211640070991484,208.66756394801706,True,3000.0,3000.0,200.0
5,51.234573119188504,26.813110108635293,-4957.0,163.8295234916437,197.70592004565276,2.2375453621430514,194.03634565173815,True,3060.120376420103,3060.120376420103,200.0
5,30.234573119188504,24.313110108635293,-1827.0,1409.2230913994638,943.0520187953939,5.6364922673683955,933.8081714769097,True,3000.0,3000.0,200.0
5,36.734573119188504,54.31311010863529,320.0,1522.6106590878735,727.5848716396675,2.256252772443228,723.8846170928606,True,3000.0,3000.0,200.0
5,42.234573119188504,80.3131101086353,-3581.0,2174.5145484069917,483.78843738228113,1.8793327107575017,480.70633173663884,True,3000.0,3000.0,200.0
5,51.734573119188504,49.31311010863529,-3565.0,819.4887000807735,180.9700705376731,2.055012951590405,177.59984929706485,True,3236.244093929774,3236.244093929774,200.0
5,73.2345731191885,99.3131101086353,-4090.0,2036.154497082934,0.3214516741110174,2.2356576942900452,-3.3450269445246565,True,7977.120195717513,7977.120195717513,200.0
6,46.764573119188505,229.68866127783366,-1894.0,15.345936692289678,337.89910931990966,2.5144483809221287,333.77541397519735,True,3000.0,3000.0,200.0
6,24.764573119188505,231.68866127783366,-743.0,1290.5345666921667,1168.2130665927898,2.6664651004351363,1163.8400638280762,True,3000.0,3000.0,200.0
6,44.264573119188505,198.18866127783366,-3956.0,1313.1201875754691,414.1345879944147,1.5541108451130974,411.5858462084292,True,3000.0,3000.0,200.0
6,21.764573119188505,206.68866127783366,-3870.0,1838.0657213392915,1187.3539866072865,6.271570228118276,1177.0686114331725,True,3000.0,3000.0,200.0
6,50.764573119188505,167.68866127783366,-3971.0,2370.0923366960947,209.74891885747456,1.3675174425921548,207.50619025162342,True,3000.0,3000.0,200.0
6,4.764573119188505,223.18866127783366,612.0,2494.2180732197335,1540.3630368833892,4.299874948133181,1533.3112419684508,True,3000.0,3000.0,200.0
6,26.764573119188505,182.18866127783366,-3640.0,2497.832590947433,1028.733000966507,5.6889459115679495,1019.4031296715356,True,3000.0,3000.0,200.0
6,9.764573119188505,205.68866127783366,-3490.0,2491.9593833339677,1471.5966290526026,15.315090027385372,1446.4798814076905,True,3000.0,3000.0,200.0
6,51.764573119188505,210.18866127783366,-3590.0,818.2087282876249,180.02153543067044,1.78969422874459,177.08643689552932,True,3242.1058448114727,3242.1058448114727,200.0
6,37.264573119188505,173.18866127783366,-3980.0,2498.8019424082822,654.5633352011001,1.6642828809675079,651.8339112763134,True,3000.0,3000.0,200.0
7,-34.275426880811494,282.15193076480875,4630.0,14.74200003585907,580.8529380515882,3.0493595195014565,575.8519884396059,True,3000.0,3000.0,200.0
7,-45.275426880811494,257.15193076480875,2146.0,1289.4569962841247,234.86833985519723,8.710696644482024,220.58279735824672,True,3000.0,3000.0,200.0
7,-15.275426880811494,269.65193076480875,4973.0,1315.3735272883973,1192.451676514801,11.56271283835533,1173.4888274598982,True,3000.0,3000.0,200.0
7,-23.775426880811494,246.15193076480872,4889.0,1948.4846360453644,918.7866483596803,6.278887613804907,908.4892726730402,True,3000.0,3000.0,200.0
7,-21.775426880811494,328.15193076480875,-58.0,2496.662852656737,873.6665139216932,1.6504729962513625,870.9597382078409,True,3000.0,3000.0,200.0
7,-14.275426880811494,288.65193076480875,3346.0,1247.8984123599084,1176.894189659212,10.597740365009189,1159.513895460597,True,3000.0,3000.0,200.0
7,-6.275426880811494,316.15193076480875,1124.0,2499.67208792949,1319.085874173116,6.452892818374579,1308.5031299509817,True,3000.0,3000.0,200.0
7,-35.275426880811494,319.15193076480875,-745.0,1790.2575961054463,486.725394309496,2.0858649025860334,483.3045758692549,True,3000.0,3000.0,200.0
7,-7.775426880811494,260.15193076480875,4474.0,1979.908620005614,1387.992073503926,6.422569226442568,1377.45905997256,True,3000.0,3000.0,200.0
7,-30.275426880811494,295.65193076480875,3362.0,723.4105672160428,684.7005606865932,11.752918431823536,665.4257744584027,True,3000.0,3000.0,200.0
8,-46.0,307.27855540308315,-1269.0,922.156953644087,206.83053727580665,4.4491611436611045,199.53391300020243,True,3004.537216226627,3004.537216226627,200.0
8,-22.0,305.27855540308315,1151.0,1818.830512321875,892.4230281113835,1.799731285200645,889.4714688036544,True,3000.0,3000.0,200.0
8,-45.5,339.27855540308315,-619.0,2179.2468858694515,220.47873164366575,4.84679237009032,212.52999215671764,True,3000.0,3000.0,200.0
8,-45.5,224.27855540308317,2276.0,2386.176771612619,229.18196367376845,9.922109003578155,212.90970490790028,True,3000.0,3000.0,200.0
8,-46.0,283.27855540308315,2757.0,121.62392467109508,217.6947953716222,10.395141599331849,200.64676314871798,True,3000.0,3000.0,200.0
8,-32.0,232.27855540308317,2484.0,2494.114890225755,619.0368990241682,8.714717349772878,604.7447625705406,True,3000.0,3000.0,200.0
8,-30.0,262.77855540308315,4488.0,1445.8432129040077,712.3916704638771,12.37366091736558,692.0988665593975,True,3000.0,3000.0,200.0
