hub_id,lat,lon,elev_m,dist_km,cap_mean,cap_std,cap_lcb_at_base_area,feasible,pv_area_m2,required_pv_area_m2
5,49.734573119188504,26.813110108635293,-4202.0,252.48964560763733,240.90114970439265,2.3090672048757566,237.11427948839642,True,5060.850837786528,5060.850837786528
6,44.764573119188505,229.68866127783366,-1619.0,104.6518575503298,406.6680346750759,2.6847865104652504,402.26498479791286,True,3000.0,3000.0
6,44.264573119188505,198.68866127783366,-3954.0,1292.8679618527924,414.1419897289366,1.5534421278091066,411.5943446393297,True,3000.0,3000.0
6,23.264573119188505,218.18866127783366,-1917.0,1484.3007106483476,1189.7278621829018,2.2540410236225425,1186.0312349041608,True,3000.0,3000.0
6,21.264573119188505,192.18866127783366,-3662.0,2341.390032569625,1209.464898218975,6.321518832241011,1199.0976073340996,True,3000.0,3000.0
6,44.264573119188505,168.18866127783366,-3821.0,2498.4692636243985,414.50625360821596,1.522823295480482,412.00882340362796,True,3000.0,3000.0
6,7.264573119188505,211.68866127783366,-2671.0,2499.391843073197,1473.116732899745,12.56823567608814,1452.5048263909605,True,3000.0,3000.0
6,30.764573119188505,178.68866127783366,-3814.0,2490.649974198271,886.4534897698124,9.076305212131407,871.568349221917,True,3000.0,3000.0
6,4.764573119188505,227.68866127783366,1881.0,2473.237356804445,1583.6153325172186,3.292739324513443,1578.2152400250166,True,3000.0,3000.0
6,12.764573119188505,199.68866127783366,-3560.0,2498.1034750828144,1456.4111971307484,12.319010302385477,1436.208020234836,True,3000.0,3000.0
6,44.764573119188505,187.18866127783366,-4051.0,1745.7937733209817,397.3519623316591,1.658653028931777,394.631771364211,True,3040.8094002459416,3040.8094002459416
7,-34.275426880811494,282.15193076480875,4630.0,14.74200003585907,580.8529380515882,3.0493595195014565,575.8519884396059,True,3000.0,3000.0
7,-39.275426880811494,255.15193076480872,2429.0,1298.3235676633726,405.5423740100108,2.2652828171899126,401.82731018981934,True,3000.0,3000.0
7,-14.775426880811494,270.15193076480875,4953.0,1328.6655784239945,1206.6612795157225,12.072940013596755,1186.8616578934239,True,3000.0,3000.0
7,-20.775426880811494,241.15193076480872,4960.0,2273.696435177776,1018.7932233676913,1.4037616848734071,1016.4910542044989,True,3000.0,3000.0
7,-38.775426880811494,230.15193076480872,1746.0,2443.4262292100902,413.17633074359867,2.918748368796648,408.3895834187722,True,3000.0,3000.0
7,1.2245731191885056,267.65193076480875,3400.0,2259.839412973692,1568.1290831069323,1.7471071616232041,1565.2638273618702,True,3000.0,3000.0
7,-5.275426880811494,314.65193076480875,1260.0,2483.6494464603416,1348.2099673261355,6.358694721290649,1337.781707983219,True,3000.0,3000.0
7,-26.775426880811494,330.65193076480875,526.0,2491.845329773242,739.7844694270824,11.954021191186321,720.1798746735368,True,3000.0,3000.0
7,-25.775426880811494,306.15193076480875,784.0,1332.54009219731,773.1874145399561,10.21397750618952,756.4364914298053,True,3000.0,3000.0
7,-7.775426880811494,260.15193076480875,4474.0,1979.908620005614,1387.992073503926,6.422569226442568,1377.45905997256,True,3000.0,3000.0
8,-39.0,309.77855540308315,1799.0,1197.5030131856995,407.6777402960053,1.604595757902457,405.0462032530453,True,3000.0,3000.0
8,-16.0,297.77855540308315,3394.0,1992.8156166629713,1128.5526269899124,9.239122042087711,1113.4004668408886,True,3000.0,3000.0
8,-38.5,338.77855540308315,870.0,2353.840022261929,413.4020145297495,1.5842711709219048,410.8038098094376,True,3000.0,3000.0
8,-18.5,321.77855540308315,417.0,2491.907141208622,981.1915486990774,4.625876521146205,973.6051112043976,True,3000.0,3000.0
8,-40.0,291.77855540308315,3508.0,558.1081515341375,395.099338041839,1.7816320157592025,392.1774615359939,True,3059.8392760769716,3059.8392760769716
8,-25.5,260.77855540308315,4982.0,1723.6489878901814,864.814541875649,10.29693725240221,847.9275647817093,True,3000.0,3000.0
8,-14.0,284.77855540308315,3298.0,2003.716507125741,1183.3512512308096,10.567072992432939,1166.0212515232195,True,3000.0,3000.0
8,-41.5,269.77855540308315,4776.0,724.119910565243,362.365696607238,2.975677707108806,357.4855851675796,True,3356.778706021034,3356.778706021034
8,-41.5,224.27855540308317,2454.0,2496.947673057678,342.19835284967314,4.042539260715285,335.5685884621001,True,3576.0200485377995,3576.0200485377995
8,-43.0,345.77855540308315,1580.0,2491.5782696141623,294.709990459153,2.737976993478628,290.21970818984806,True,4134.7984514374075,4134.7984514374075
